V1 shortname gene ID
AAK1,chr2,-,69757139,69766553,69757139,69759294,69769654,69769797 AAK1 A3SS 6 AAK1 rMATS_1
ACTR3,chr2,+,114670748,114674585,114670748,114670804,114673173,114674585 ACTR3 RI 3-4 ACTR3 rMATS_167
ACTR3,chr2,+,114688877,114691105,114688877,114688973,114691734,114691963 ACTR3 A5SS 6 ACTR3 rMATS_168
ACTR3,chr2,+,114688877,114691963,114688877,114688973,114691734,114691963 ACTR3 RI 6-7 ACTR3 rMATS_169
ACTR3,chr2,+,114688877,114691963,114688877,114688973,114691855,114691963 ACTR3 RI 6-7a ACTR3 rMATS_170
ACTR3,chr2,+,114699762,114709148,114699762,114704675,114709055,114709148 ACTR3 RI 9-10 ACTR3 rMATS_171
ACTR6,chr12,+,100603850,100603986,100601440,100601564,100604072,100604129 ACTR6 SE 5 ACTR6 rMATS_172
ACTR8,chr3,-,53907058,53907136,53906410,53906551,53908237,53908391 ACTR8 SE 10 ACTR8 rMATS_173
ACVR1B,chr12,+,52377782,52377950,52374752,52374983,52380601,52380801 ACVR1B SE 7 ACVR1B rMATS_174
ACVR1B,chr12,+,52377782,52377950,52374752,52374983,52385646,52385755 ACVR1B SE 7_v1 ACVR1B rMATS_175
ADA,chr20,-,43251228,43251293,43249658,43249788,43251469,43251571 ADA SE 8 ADA rMATS_176
ADAM10,chr15,-,58926384,58927979,58925394,58925558,58932975,58933159 ADAM10 SE U1 ADAM10 rMATS_177
ADAM10,chr15,-,58927894,58927979,58925394,58925558,58932975,58933159 ADAM10 SE U2 ADAM10 rMATS_178
ADAM10,chr15,-,58929948,58930056,58925394,58925558,58932975,58933159 ADAM10 SE U3 ADAM10 rMATS_179
ADAM10,chr15,-,58932975,58936177,58932975,58933159,58936084,58936177 ADAM10 RI 10-9 ADAM10 rMATS_180
ADAM15,chr1,+,155026625,155026702,155025892,155025969,155026789,155026982 ADAM15 SE 6 ADAM15 rMATS_181
ADAM15,chr1,+,155028555,155028725,155026789,155028476,155028861,155028946 ADAM15 SE 10 ADAM15 rMATS_182
ADAM17,chr2,-,9658231,9668083,9658231,9666373,9667914,9668083 ADAM17 RI 10-5 ADAM17 rMATS_183
ADAM17,chr2,-,9661331,9663467,9661331,9661445,9663377,9663467 ADAM17 RI 9-7 ADAM17 rMATS_184
ADAM17,chr2,-,9661331,9666373,9661331,9663467,9666239,9666373 ADAM17 RI 9-6 ADAM17 rMATS_185
ADAM17,chr2,-,9661331,9666393,9661331,9666373,9667914,9668083 ADAM17 A3SS 6 ADAM17 rMATS_186
ADAM17,chr2,-,9666972,9668083,9667914,9668083,9666239,9666373 ADAM17 A5SS U1 ADAM17 rMATS_187
ADAM17,chr2,-,9683281,9683414,9683281,9683355,9695637,9695882 ADAM17 A3SS 2c ADAM17 rMATS_188
ADAM17,chr2,-,9683281,9683414,9683281,9683358,9695637,9695917 ADAM17 A3SS 2b ADAM17 rMATS_189
ADAM17,chr2,-,9683281,9683889,9683281,9683355,9683824,9683889 ADAM17 RI 2-Ua ADAM17 rMATS_190
ADAM17,chr2,-,9683281,9683889,9683281,9683358,9683824,9683889 ADAM17 RI 2-U ADAM17 rMATS_191
ADAM17,chr2,-,9683281,9685118,9683281,9683355,9695637,9695917 ADAM17 A3SS 2a ADAM17 rMATS_192
ADAM17,chr2,-,9683281,9685118,9683281,9683358,9695637,9695917 ADAM17 A3SS 2 ADAM17 rMATS_193
ADAM28,chr8,+,24168873,24168950,24157486,24167754,24170900,24171093 ADAM28 SE 5 ADAM28 rMATS_194
ADAM28,chr8,+,24170900,24171093,24157486,24168950,24177748,24177815 ADAM28 SE 6 ADAM28 rMATS_195
ADAM28,chr8,+,24178730,24178961,24178827,24178961,24177748,24177820 ADAM28 A3SS 8 ADAM28 rMATS_196
ADAM28,chr8,+,24211282,24211345,24209499,24209565,24211896,24212251 ADAM28 SE 22 ADAM28 rMATS_197
ADAM8,chr10,-,135082948,135083033,135081432,135081622,135083400,135083478 ADAM8 SE U1 ADAM8 rMATS_198
ADAM9,chr8,+,38883321,38883403,38880674,38880844,38884195,38884329 ADAM9 SE 11a ADAM9 rMATS_199
ADAM9,chr8,+,38883325,38883403,38880428,38880844,38884195,38884329 ADAM9 SE 11 ADAM9 rMATS_200
ADAM9,chr8,+,38911999,38912092,38911999,38912036,38913095,38913291 ADAM9 A5SS 14 ADAM9 rMATS_201
ADAM9,chr8,+,38911999,38913291,38911999,38912036,38913095,38913291 ADAM9 RI 14-15 ADAM9 rMATS_202
ADAM9,chr8,+,38928816,38928922,38907148,38913291,38934746,38934930 ADAM9 SE 16 ADAM9 rMATS_203
ADAM9,chr8,+,38940486,38940592,38940159,38940240,38947565,38947707 ADAM9 SE 19 ADAM9 rMATS_204
ADAM9,chr8,+,38947565,38947707,38947654,38947707,38940159,38940240 ADAM9 A3SS 20 ADAM9 rMATS_205
ADAR,chr1,-,154558656,154558839,154557670,154558341,154560600,154560734 ADAR SE 14 ADAR rMATS_206
ADAR,chr1,-,154562659,154562885,154562737,154562885,154558656,154562404 ADAR A5SS 9 ADAR rMATS_207
ADCY7,chr16,+,50334625,50334784,50332814,50332942,50338270,50338427 ADCY7 SE 10 ADCY7 rMATS_208
ADCY7,chr16,+,50344364,50344791,50343458,50343557,50345603,50345697 ADCY7 SE 20,21 ADCY7 rMATS_209
ADCY7,chr16,+,50344597,50344791,50343458,50343557,50345603,50345697 ADCY7 SE 21 ADCY7 rMATS_210
ADCY7,chr16,+,50348924,50349049,50347868,50348317,50349269,50349510 ADCY7 SE 27 ADCY7 rMATS_211
ADD1,chr4,+,2928368,2928402,2927740,2927839,2929897,2930439 ADD1 SE 19 ADD1 rMATS_212
ADD3,chr10,+,111838997,111839055,111767710,111768057,111860382,111860606 ADD3 SE U1 ADD3 rMATS_213
ADD3,chr10,+,111876016,111876168,111872534,111872673,111877099,111877180 ADD3 SE 6 ADD3 rMATS_214
ADD3,chr10,+,111892062,111892158,111890120,111890244,111893083,111893873 ADD3 SE 16 ADD3 rMATS_215
ADH5,chr4,-,99992431,99993592,99986736,99988749,99993723,99993862 ADH5 SE 9 ADH5 rMATS_216
ADH5,chr4,-,99997442,99997703,99994714,99996200,99997854,99998074 ADH5 SE 6 ADH5 rMATS_217
ADIPOR1,chr1,-,202914110,202914323,202914110,202914297,202915566,202915738 ADIPOR1 A3SS 7 ADIPOR1 rMATS_218
ADIPOR1,chr1,-,202921967,202923435,202920057,202920292,202927312,202927363 ADIPOR1 SE 3 ADIPOR1 rMATS_219
ADIPOR1,chr1,-,202923368,202923435,202920057,202920292,202927036,202927055 ADIPOR1 SE 3a ADIPOR1 rMATS_220
ADK,chr10,+,76351517,76352513,76349039,76349075,76360136,76360251 ADK SE U1 ADK rMATS_221
ADNP2,chr18,+,77875412,77875533,77875412,77875467,77890985,77891075 ADNP2 A5SS 2h ADNP2 rMATS_222
ADNP2,chr18,+,77875412,77875543,77875412,77875467,77890985,77891075 ADNP2 A5SS 2g ADNP2 rMATS_223
ADNP2,chr18,+,77875412,77875543,77875412,77875479,77890985,77891075 ADNP2 A5SS 2f ADNP2 rMATS_224
ADNP2,chr18,+,77875412,77875568,77875412,77875467,77890985,77891075 ADNP2 A5SS 2e ADNP2 rMATS_225
ADNP2,chr18,+,77875412,77875568,77875412,77875479,77890985,77891075 ADNP2 A5SS 2d ADNP2 rMATS_226
ADNP2,chr18,+,77875412,77877886,77875412,77875467,77890985,77891075 ADNP2 A5SS 2c ADNP2 rMATS_227
ADNP2,chr18,+,77875412,77877886,77875412,77875479,77890985,77891075 ADNP2 A5SS 2a ADNP2 rMATS_228
ADNP2,chr18,+,77875412,77880129,77875412,77875467,77890985,77891075 ADNP2 A5SS 2b ADNP2 rMATS_229
ADNP2,chr18,+,77875412,77880129,77875412,77875479,77890985,77891075 ADNP2 A5SS 2 ADNP2 rMATS_230
